responder_caste,term,estimate,se_hc1,p_hc1
HC,Constant,0.010460251046026523,0.004658311071841175,0.024786546365960137
HC,HCG-HI,0.21966527196654487,0.01982727304825627,3.807837571065537e-28
HC,HCG-MI,0.16736401673636778,0.01811642014170156,3.8456910219476695e-20
HC,HCG-LI,0.1694560669456102,0.01819399713857306,1.9187988536400727e-20
HC,MCG-HI,0.1276150627615097,0.016468084610260707,1.1461692889127366e-14
HC,MCG-MI,0.050209205020917115,0.011881623264849992,2.430522570130195e-5
HC,MCG-LI,0.03347280334728014,0.01047646612116484,0.0014082034548186899
HC,LCG-HI,0.09623430962343002,0.014883310309169595,1.1193440875383463e-10
HC,LCG-MI,0.041841004184101256,0.011207652009923774,1.9147103736079422e-4
MC,Constant,0.07219251336898384,0.013400487604916725,7.644886364229795e-8
MC,HCG-HI,-1.8299770612228365e-15,0.018951151313284256,0.999999999999923
MC,HCG-MI,0.018716577540112106,0.02002849059733862,0.3501144561972591
MC,HCG-LI,0.032085561497326685,0.02073611246570146,0.12187850281734822
MC,MCG-HI,0.1497326203208518,0.025347722431492137,3.828447472623395e-9
MC,MCG-MI,0.050802139037436266,0.02165088103317969,0.01901239860415459
MC,MCG-LI,0.005347593582888445,0.01927008496764237,0.781407516346462
MC,LCG-HI,0.08288770053476262,0.023040417660201595,3.2593554658877686e-4
MC,LCG-MI,0.010695187165775269,0.01957991009690602,0.5849422897145309
LC,Constant,0.16605166051660677,0.02264692821589459,3.068201745527617e-13
LC,HCG-HI,-0.15498154981550008,0.02352509061709336,5.4491285917697044e-11
LC,HCG-MI,-0.1402214022140278,0.024618689273328085,1.3766126628386032e-8
LC,HCG-LI,-0.0885608856088547,0.027886307623012606,0.0015130453847422545
LC,MCG-HI,-0.1291512915129158,0.025387167823555896,3.9102173907411154e-7
LC,MCG-MI,-0.02214022140221325,0.031131706081831363,0.47704146223681754
LC,MCG-LI,-0.04797047970479712,0.02997631917871722,0.10966665294642955
LC,LCG-HI,0.08856088560885299,0.03486819117323913,0.01115097123925143
LC,LCG-MI,7.253201926410201e-16,0.03202759302900777,0.999999999999982
